feature,importance,mean_shap
amt,5.293625702885956,-5.288672414477495
job_enc,4.615499385716079,-4.589108472562509
merchant_enc,1.6310811927188487,-1.629314504899552
hour_cos,0.8654490950649322,-0.8216460826197557
hour,0.5367559838313583,-0.5126314506614053
cat_grocery_pos,0.4432199560372774,-0.4029767730789009
city_pop_log,0.261634197498567,-0.18190896172936633
month,0.2585761251797377,-0.18281336940455223
age,0.2562758053326425,-0.2501594272274147
cat_gas_transport,0.24185210210806954,-0.21380906334663802
cat_shopping_net,0.1835433326569162,0.017909766343038612
cat_misc_net,0.14967474352437615,-0.019116564440895874
cat_shopping_pos,0.14967373215357158,-0.10820676921405419
cat_food_dining,0.14531360915864774,-0.14531360915864774
hour_sin,0.14244860092929196,-0.1207029224204284
day_of_week,0.11718148449642016,-0.07384750705755835
cat_home,0.1078485032730108,-0.10781529629956689
gender_enc,0.09945529907348134,-0.09506014378831246
cat_misc_pos,0.09494887365954567,-0.09465019857217287
cat_personal_care,0.07751455110620542,-0.06996628746908047
distance,0.0737036637986405,-0.056980104113315624
cat_kids_pets,0.06536312689065014,-0.061320031480646395
cat_grocery_net,0.05681477899405924,-0.05681477899405924
cat_travel,0.0469667879474004,-0.046416230582832896
cat_health_fitness,0.03810559758805359,-0.03794789756660796
is_weekend,0.0,0.0
amt_log,0.0,0.0
