feature,importance
job_enc,3.355011
amt,2.603799
merchant_enc,1.0143683
hour_cos,0.6213314
hour,0.2808465
city_pop_log,0.2742045
age,0.23819421
cat_gas_transport,0.22652431
month,0.20566255
cat_shopping_pos,0.14658499
day_of_week,0.11994121
cat_shopping_net,0.11500749
distance,0.11313284
cat_misc_net,0.10918555
cat_food_dining,0.10909262
cat_home,0.10744825
hour_sin,0.09349882
cat_travel,0.055710066
cat_grocery_pos,0.055328485
cat_personal_care,0.046557732
cat_misc_pos,0.040714484
gender_enc,0.039835747
cat_kids_pets,0.034771115
cat_grocery_net,0.034374226
cat_health_fitness,0.029270401
is_weekend,0.0
amt_log,0.0
